Wesbite URL,A3 Value,Page Rank
fcc.gov,0.13047248374592557,6.30
boingboing.net,0.19050185633547523,6.40
soas.ac.uk,0.1466583656896554,6.33
screencast.com,0.2709999999999999,6.69
llengua.gencat.cat,0.10229121881004666,6.01
on.msnbc.com,0.1957984340240655,6.03
hp.com,0.10250732991279266,6.00
scholar.google.com,0.2774143746233433,6.86
scribd.com,0.2709999999999999,6.82
foodnetwork.com,0.1009383665554986,6.17
cliolink.com,0.15874782738373572,6.09
